data function,logical file,gold_yes,pred_no
translator,assembler,gold_yes,pred_yes
caution,warning,gold_yes,pred_yes
software test environment,capacity,golen_no,pred_yes
override,partial,golen_no,pred_yes
acceptance criteria,requirement,gold_yes,pred_yes
risk trigger,software,golen_no,pred_yes
requirements review,audit,golen_no,pred_yes
nanostore,control store,gold_yes,pred_no
maintained,mvp,golen_no,pred_yes
contiguous allocation,paging,gold_yes,pred_yes
specification change notice,configuration control,gold_yes,pred_no
lead,read,golen_no,pred_yes
move,microoperation,golen_no,pred_yes
resource,artifact,gold_yes,pred_yes
xp,process standard,golen_no,pred_yes
fact build,source,golen_no,pred_yes
storage capacity,measurement standard,gold_yes,pred_no
nanostore,control statement,gold_yes,pred_no
development team,seller,golen_no,pred_yes
standards,conventions,gold_yes,pred_no
domain analysis,table,golen_no,pred_yes
fibonacci sequence,Planning Poker,gold_yes,pred_yes
routine,coroutine,gold_yes,pred_yes
whole-team approach,testability,golen_no,pred_yes
invocation,iteration,gold_yes,pred_yes
the operand,direct address,gold_yes,pred_yes
attribute,muda,golen_no,pred_yes
structured design,modular decomposition,gold_yes,pred_no
beta testing,origin,golen_no,pred_yes
domain expert,computer program abstract,golen_no,pred_yes
hierarchy,database,golen_no,pred_yes
Information-based domain,architecture,golen_no,pred_yes
build definition,artifact,golen_no,pred_yes
environment,requirements specification,golen_no,pred_yes
project management software,external,golen_no,pred_yes
general system characteristics,characteristic,golen_no,pred_yes
postprocessor,precision,gold_yes,pred_no
swarming,organization,golen_no,pred_yes
sos,scrum of scrums,gold_yes,pred_yes
complexity,certification,golen_no,pred_yes
bag,set,gold_yes,pred_yes
customer,stakeholder,gold_yes,pred_yes
lean,offset,golen_no,pred_yes
routine,architecture,gold_yes,pred_no
postprocessor,preprocessor,gold_yes,pred_no
immediate control,bit steering,gold_yes,pred_no
terminal,audit,golen_no,pred_yes
e-mail,electronic mail,gold_yes,pred_yes
configuration management,baseline,gold_yes,pred_yes
wearout-failure period,unit,golen_no,pred_yes
multilevel address,the operand,gold_yes,pred_no
rescue point,all-at-once development,golen_no,pred_yes
target language,service,golen_no,pred_yes
command-driven,menu-driven,gold_yes,pred_yes
customer,purchaser,gold_yes,pred_yes
immediate data,literal,gold_yes,pred_yes
minimum viable product,mvp,gold_yes,pred_yes
cost-plus-incentive-fee contract,validation test,golen_no,pred_yes
immediate data,direct address,gold_yes,pred_yes
start-to-start,logical relationship,gold_yes,pred_yes
detailed design,software development process,gold_yes,pred_yes
residual control,bit steering,gold_yes,pred_no
process capability level rating,organization,golen_no,pred_yes
bag,list,gold_yes,pred_yes
task mode,preparation time,gold_yes,pred_no
emergence,self-organization,gold_yes,pred_yes
heavily used configuration GSC,multiprocessing,golen_no,pred_yes
mvp,maintained,golen_no,pred_yes
batch size,work in process,gold_yes,pred_yes
embedded computer system,organization,golen_no,pred_yes
uncertainty,risk,gold_yes,pred_yes
software feature,issue,golen_no,pred_yes
printed documentation,step,golen_no,pred_yes
down,modular decomposition,golen_no,pred_yes
given – when – then,external input,golen_no,pred_yes
read,lead,golen_no,pred_yes
semaphore,flag,gold_yes,pred_yes
hard failure,crash,gold_yes,pred_yes
curriculum standard,Object Management Group,golen_no,pred_yes
reversible execution,replay,gold_yes,pred_yes
widget,page,golen_no,pred_yes
developmental configuration,functional baseline,gold_yes,pred_no
product backlog ,backlog,gold_yes,pred_yes
caution,note,gold_yes,pred_yes
simulation,offset,golen_no,pred_yes
operational ease GSC,program counter,golen_no,pred_yes
structured design,input-process-output,gold_yes,pred_no
concurrent,parallel,gold_yes,pred_yes
develop project management plan,triple constraint,golen_no,pred_yes
machine-dependent,process management,golen_no,pred_yes
finish-to-finish,logical relationship,gold_yes,pred_yes
principle of least astonishment,variable trace,golen_no,pred_yes
page,widget,golen_no,pred_yes
xp,pbi slotting,golen_no,pred_yes
iff,software development process,golen_no,pred_yes
process standard,xp,golen_no,pred_yes
pseudo instruction,declaration,gold_yes,pred_yes
translator,compiler,gold_yes,pred_yes
feature,partial,golen_no,pred_yes
